Especie,LON,LAT
Ambystoma_altamirani,-99.387222,19.235278
Ambystoma_altamirani,-99.387222,19.235278
Ambystoma_altamirani,-99.387222,19.235278
Ambystoma_altamirani,-99.394203,19.242222
Ambystoma_altamirani,-99.394203,19.242222
Ambystoma_altamirani,-99.387222,19.235278
Ambystoma_altamirani,-99.394203,19.242222
Ambystoma_altamirani,-99.394203,19.242222
Ambystoma_altamirani,-99.394203,19.242222
Ambystoma_altamirani,-99.338059,19.257778
Ambystoma_altamirani,-99.338059,19.257778
Ambystoma_altamirani,-99.3125,19.3125
Ambystoma_altamirani,-99.316667,19.325
Ambystoma_altamirani,-99.283333,19.261111
Ambystoma_altamirani,-99.3023363,19.0531381
Ambystoma_altamirani,-99.3023363,19.0531381
Ambystoma_altamirani,-99.3023363,19.0531381
Ambystoma_altamirani,-99.3023363,19.0531381
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.272778,19.280278
Ambystoma_altamirani,-99.272778,19.280278
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.272778,19.280278
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.272778,19.280278
Ambystoma_altamirani,-99.272778,19.280278
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.272778,19.280278
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.272778,19.280278
Ambystoma_altamirani,-99.272778,19.280278
Ambystoma_altamirani,-99.272778,19.280278
Ambystoma_altamirani,-99.280403,19.2785
Ambystoma_altamirani,-99.272778,19.280278
Ambystoma_altamirani,-99.272778,19.280278
Ambystoma_altamirani,-99.272778,19.280278
Ambystoma_altamirani,-99.3125,19.3125
Ambystoma_altamirani,-99.322778,19.055
Ambystoma_altamirani,-99.322778,19.055
Ambystoma_altamirani,-99.33342,19.07234
Ambystoma_altamirani,-99.33342,19.07234
Ambystoma_altamirani,-99.31,19.31
